Galaxy,RA,DEC,Distance,Distance_u,Distance_d,v_los,v_los_u,v_los_d,mu_alpha,mu_alpha_u,mu_alpha_d,mu_delta,mu_delta_u,mu_delta_d,X,Y,Z,v_X,v_Y,v_Z
Segue2,34.8226,20.1624,17.68,-0.17,0.17,-40.2,-0.9,0.9,1.43,-0.05,0.06,-0.31,-0.05,0.04,-31.467697513666575,13.7352427569751,-21.219754816472417,-108.00002162970385,48.40646070741313,73.67653239783489
Sextans,153.268,-1.618,19.64,-0.01,0.01,226.0,-0.6,0.6,-0.4,-0.01,0.01,0.02,-0.01,0.01,-36.165291262575344,-56.10577433352832,56.99146851720998,-196.84710993085417,76.07083438009036,72.02224212893
TriangulumII,33.3252,36.1702,17.27,-0.11,0.11,-381.7,-1.1,1.1,0.58,-0.05,0.05,0.08,-0.06,0.06,-28.393971591152795,16.40868913306348,-11.491489524364532,226.39840272443033,-17.05570076431816,195.12092785862882
TucanaII,342.9796,-58.5689,18.8,-0.2,0.2,-129.1,-3.5,3.5,0.91,-0.02,0.02,-1.27,-0.03,0.03,21.653919599237017,-18.592272002482986,-45.54538528955362,-239.94236185073768,-93.07265875780541,145.15440831397217
TucanaIII,359.1075,-59.58332,16.8,-0.1,0.1,-101.2,-0.5,0.5,-0.08,-0.02,0.02,-1.62,-0.02,0.02,0.879912943016075,-8.94660969893443,-19.034726583062728,27.839179783040287,148.77951669564047,183.76396309760247
TucanaIV,0.717,-60.83,18.36,-0.19,0.18,15.9,-1.7,1.8,0.56,-0.04,0.05,-1.69,-0.05,0.05,10.144803901594372,-19.460612316918525,-38.6362196789689,18.75249211113928,-112.47467850699081,173.21023491940855
TucanaV,354.347,-63.266,18.7,-0.34,0.11,-36.2,-2.2,2.5,-0.13,-0.2,3.79,-1.15,-0.13,5.07,16.32347166426888,-23.42295144833315,-43.24253002985427,81.26078657284792,32.81816360463629,209.70652136686155
UrsaMajorI,158.7706,51.9479,19.94,-0.13,0.13,-55.3,-1.4,1.4,-0.4,-0.03,0.03,-0.63,-0.04,0.04,-61.157599659123775,19.945030779553882,79.12054094357907,-86.74548535082549,-82.78684077627999,-42.72625944191432
UrsaMajorII,132.8726,63.1335,17.7,-0.16,0.16,-116.5,-1.9,1.9,1.73,-0.02,0.02,-1.9,-0.02,0.02,-32.61079360918946,12.728939788611562,21.079650894757943,173.79215772979413,-101.58133256409285,215.28262794218358
UrsaMinor,227.242,67.2221,19.41,-0.12,0.12,-246.9,-0.4,0.4,-0.124,-0.004,0.004,0.071,-0.005,0.005,-22.17594107373076,52.225365470673424,53.71059902636822,10.669034764424262,56.646276266718324,-157.04071323015754
