# Table B.1 and Table B.2 from battaglia2022gaia_Astron. Astrophys. - Gaia early DR3 systemic motions of local group dwarf galaxies and orbital properties with a massive Large Magellanic Cloud
# See MW_satellites.csv for the results of (X,Y,Z) and (v_x, v_y, v_z)
Galaxy            RA           DEC         Distance  Distance_u  Distance_d   v_los    v_los_u  v_los_d     mu_alpha mu_alpha_u mu_alpha_d   mu_delta mu_delta_u mu_delta_d
IC1613            16.19917     2.11778     24.40     -0.01       +0.01        -234.00  -0.60    +0.60       0.04     -0.02      +0.02        0.01     -0.01      +0.01            
NGC6822           296.23583    -14.78917   23.36     -0.17       +0.17        -54.50   -1.70    +1.70       -0.06    -0.01      +0.01        -0.07    -0.01      +0.01           
Peg-dIrr          352.15125    14.74306    24.40     -0.20       +0.20        -179.50  -1.50    +1.50       0.15     -0.14      +0.13        0.07     -0.11      +0.12            
WLM               0.49250      -15.46083   24.85     -0.08       +0.08        -130.00  -1.00    +1.00       0.09     -0.03      +0.03        -0.07    -0.02      +0.02           
Sg-dIrr           292.49583    -17.68083   25.14     -0.18       +0.18        -78.40   -1.60    +1.60       0.11     -0.18      +0.19        -0.37    -0.17      +0.17           
UGC4879           139.00917    52.84000    25.61     -0.13       +0.13        -29.20   -1.60    +1.60       -0.00    -0.11      +0.11        -0.04    -0.09      +0.09           
NGC3109           150.77875    -26.15972   25.57     -0.08       +0.08        403.00   -2.00    +2.00       -0.04    -0.03      +0.03        -0.01    -0.03      +0.03           
SextansA          152.75333    -4.69278    25.77     -0.12       +0.12        324.00   -1.00    +1.00       -0.15    -0.04      +0.05        -0.03    -0.05      +0.04           
M33               23.46208     30.66028    24.80     -0.05       +0.05        -180.00  -3.00    +3.00       0.062    -0.004     +0.004       0.011    -0.003     +0.003         
SextansB          150.00042    5.33222     25.80     -0.12       +0.12        304.00   -1.00    +1.00       -0.29    -0.16      +0.16        -0.28    -0.17      +0.17           
