#R[kpc]	Baryon[km/s]	CDM[km/s]	QUMOND[km/s]	MOG[km/s]
30.540000	101.703590	201.543146	202.808343	202.392901
30.600000	101.601755	201.497199	202.801789	202.389799
30.660000	101.500215	201.451419	202.795510	202.386606
30.720000	101.398969	201.405807	202.789506	202.383324
30.780000	101.298017	201.360362	202.783778	202.379952
30.840000	101.197356	201.315086	202.778326	202.376490
30.900000	101.096987	201.269978	202.773152	202.372939
30.960000	100.996908	201.225038	202.768257	202.369297
31.020000	100.897118	201.180268	202.763640	202.365565
31.080000	100.797617	201.135666	202.759304	202.361743
31.140000	100.698403	201.091234	202.755250	202.357831
31.200000	100.599476	201.046972	202.751477	202.353829
31.260000	100.500835	201.002880	202.747988	202.349738
31.320000	100.402479	200.958958	202.744783	202.345556
31.380000	100.304406	200.915207	202.741864	202.341284
31.440000	100.206617	200.871626	202.739231	202.336922
31.500000	100.109111	200.828217	202.736886	202.332470
31.560000	100.011886	200.784980	202.734829	202.327928
31.620000	99.914942	200.741914	202.733063	202.323296
31.680000	99.818279	200.699022	202.731588	202.318575
31.740000	99.721895	200.656301	202.730405	202.313764
31.800000	99.625789	200.613754	202.729516	202.308863
31.860000	99.529962	200.571380	202.728922	202.303873
31.920000	99.434413	200.529181	202.728625	202.298793
31.980000	99.339140	200.487155	202.728625	202.293624
32.040000	99.244144	200.445305	202.728925	202.288367
32.100000	99.149423	200.403629	202.729526	202.283019
32.160000	99.054978	200.362129	202.730428	202.277584
32.220000	98.960807	200.320805	202.731635	202.272059
32.280000	98.866910	200.279658	202.733147	202.266446
32.340000	98.773287	200.238688	202.734966	202.260745
32.400000	98.679937	200.197895	202.737094	202.254955
32.460000	98.586859	200.157281	202.739532	202.249078
32.520000	98.494054	200.116845	202.742282	202.243112
32.580000	98.401520	200.076587	202.745347	202.237060
32.640000	98.309259	200.036510	202.748727	202.230920
32.700000	98.217268	199.996613	202.752425	202.224693
32.760000	98.125548	199.956896	202.756443	202.218379
32.820000	98.034099	199.917360	202.760784	202.211979
32.880000	97.942920	199.878007	202.765447	202.205493
32.940000	97.852011	199.838836	202.770437	202.198921
33.000000	97.761372	199.799848	202.775755	202.192264
33.060000	97.671004	199.761044	202.781404	202.185521
33.120000	97.580904	199.722425	202.787386	202.178693
33.180000	97.491075	199.683990	202.793703	202.171781
33.240000	97.401515	199.645742	202.800358	202.164786
33.300000	97.312225	199.607679	202.807353	202.157706
33.360000	97.223204	199.569805	202.814692	202.150544
33.420000	97.134454	199.532118	202.822376	202.143298
33.480000	97.045973	199.494620	202.830409	202.135971
33.540000	96.957762	199.457312	202.838793	202.128561
33.600000	96.869822	199.420194	202.847533	202.121071
33.660000	96.782153	199.383268	202.856629	202.113499
33.720000	96.694754	199.346534	202.866087	202.105848
33.780000	96.607627	199.309992	202.875910	202.098117
33.840000	96.520772	199.273645	202.886099	202.090307
33.900000	96.434190	199.237493	202.896661	202.082419
33.960000	96.347880	199.201537	202.907597	202.074452
34.020000	96.261844	199.165778	202.918913	202.066410
